Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Your Rating,Date Rated
1,tt4154796,2023-12-01,2023-12-01,,Avengers: Endgame,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,Movie,8.4,181,2019,"Action, Adventure, Drama, Sci-Fi",2019-04-26,"Anthony Russo, Joe Russo",8,2019-04-27
2,tt6105098,2023-12-01,2023-12-01,,The Lion King,The Lion King,https://www.imdb.com/title/tt6105098/,Movie,6.8,118,2019,"Animation, Adventure, Drama, Family, Fantasy, Musical",2019-07-19,Jon Favreau,5,2019-07-29
3,tt1979376,2023-12-01,2023-12-01,,Toy Story 4,Toy Story 4,https://www.imdb.com/title/tt1979376/,Movie,7.7,100,2019,"Animation, Adventure, Comedy, Family, Fantasy",2019-06-21,Josh Cooley,7,2019-10-05
4,tt6320628,2023-12-01,2023-12-01,,Spider-Man: Far from Home,Spider-Man: Far from Home,https://www.imdb.com/title/tt6320628/,Movie,7.4,129,2019,"Action, Adventure, Comedy, Fantasy, Sci-Fi",2019-07-02,Jon Watts,8,2019-07-03
5,tt5884052,2023-12-01,2023-12-01,,Pokémon: Detective Pikachu,Pokémon: Detective Pikachu,https://www.imdb.com/title/tt5884052/,Movie,6.5,104,2019,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",2019-05-10,Rob Letterman,5,2019-08-26
6,tt5113040,2023-12-01,2023-12-01,,The Secret Life of Pets 2,The Secret Life of Pets 2,https://www.imdb.com/title/tt5113040/,Movie,6.4,86,2019,"Animation, Adventure, Comedy, Family",2019-06-07,"Chris Renaud, Jonathan del Val",,
7,tt6139732,2023-12-01,2023-12-01,,Aladdin,Aladdin,https://www.imdb.com/title/tt6139732/,Movie,6.9,128,2019,"Adventure, Comedy, Family, Fantasy, Musical, Romance",2019-05-24,Guy Ritchie,,
8,tt6806448,2023-12-01,2023-12-01,,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,https://www.imdb.com/title/tt6806448/,Movie,6.5,137,2019,"Action, Adventure, Thriller",2019-08-02,David Leitch,6,2019-11-10
9,tt3741700,2023-12-01,2023-12-01,,Godzilla: King of the Monsters,Godzilla: King of the Monsters,https://www.imdb.com/title/tt3741700/,Movie,6.0,132,2019,"Action, Adventure, Fantasy, Sci-Fi",2019-05-31,Michael Dougherty,,
10,tt7131622,2023-12-01,2023-12-01,,Once Upon a Time... in Hollywood,Once Upon a Time in... Hollywood,https://www.imdb.com/title/tt7131622/,Movie,7.6,161,2019,"Comedy, Drama",2019-07-26,Quentin Tarantino,9,2019-12-06
11,tt2283336,2023-12-01,2023-12-01,,Men in Black: International,Men in Black: International,https://www.imdb.com/title/tt2283336/,Movie,5.6,114,2019,"Action, Adventure, Comedy, Sci-Fi",2019-06-14,F. Gary Gray,,
12,tt2066051,2023-12-01,2023-12-01,,Rocketman,Rocketman,https://www.imdb.com/title/tt2066051/,Movie,7.3,121,2019,"Biography, Drama, Music, Musical",2019-05-31,Dexter Fletcher,6,2019-08-26
13,tt6146586,2023-12-01,2023-12-01,,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/,Movie,7.4,130,2019,"Action, Crime, Thriller",2019-05-17,Chad Stahelski,8,2019-05-18
