Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1856101,2023-12-01,2023-12-01,,"Blade Runner 2049","Blade Runner 2049",https://www.imdb.com/title/tt1856101/,Movie,8.0,164,2017,"Action, Drama, Mystery, Sci-Fi, Thriller",674236,2017-10-06,"Denis Villeneuve",10,2019-08-20
2,tt4425200,2023-12-01,2023-12-01,,"John Wick: Chapter 2","John Wick: Chapter 2",https://www.imdb.com/title/tt4425200/,Movie,7.4,122,2017,"Action, Crime, Thriller",516537,2017-02-10,"Chad Stahelski",9,2017-02-17
3,tt5027774,2023-12-01,2023-12-01,,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,Movie,8.1,115,2017,"Comedy, Crime, Drama",559119,2017-12-01,"Martin McDonagh",8,2017-11-21
4,tt4209788,2023-12-01,2023-12-01,,"Molly's Game","Molly's Game",https://www.imdb.com/title/tt4209788/,Movie,7.4,140,2017,"Biography, Crime, Drama",189536,2018-01-05,"Aaron Sorkin",8,2018-01-02
5,tt5657856,2023-12-01,2023-12-01,,"Brawl in Cell Block 99","Brawl in Cell Block 99",https://www.imdb.com/title/tt5657856/,Movie,7.1,132,2017,"Action, Crime, Drama, Thriller",76616,2017-10-06,"S. Craig Zahler",9,2018-02-02
6,tt5109784,2023-12-01,2023-12-01,,"Mother!","Mother!",https://www.imdb.com/title/tt5109784/,Movie,6.6,121,2017,"Drama, Horror, Mystery",251612,2017-09-15,"Darren Aronofsky",8,2017-09-27
7,tt3315342,2023-12-01,2023-12-01,,"Logan","Logan",https://www.imdb.com/title/tt3315342/,Movie,8.1,137,2017,"Action, Drama, Sci-Fi, Thriller",839747,2017-03-03,"James Mangold",8,2017-03-03
8,tt5362988,2023-12-01,2023-12-01,,"Wind River","Wind River",https://www.imdb.com/title/tt5362988/,Movie,7.7,107,2017,"Crime, Drama, Mystery, Thriller, Western",282664,2017-08-18,"Taylor Sheridan",9,2017-06-17
9,tt5013056,2023-12-01,2023-12-01,,"Dunkirk","Dunkirk",https://www.imdb.com/title/tt5013056/,Movie,7.8,106,2017,"Action, Drama, History, Thriller, War",746304,2017-07-21,"Christopher Nolan",8,2017-12-16
10,tt3532216,2023-12-01,2023-12-01,,"American Made","American Made",https://www.imdb.com/title/tt3532216/,Movie,7.1,115,2017,"Action, Comedy, Crime, Drama",210677,2017-09-29,"Doug Liman",8,2017-09-30
